排名	隊伍			出賽	打數	安打	全壘打	打點	得分	三振	打擊率	上壘率	長打率
1		亞特蘭大勇士		60	2,074	556	103	338	348	573	.268	.349	.483
2		波士頓紅襪		60	2,083	552	81	278	292	545	.265	.330	.445
3		紐約大都會		60	2,023	551	86	278	286	498	.272	.348	.459
4		芝加哥白襪		60	2,047	534	96	294	306	571	.261	.326	.453
5		舊金山巨人		60	2,019	532	81	290	299	499	.263	.335	.451
6		科羅拉多落磯		60	2,057	528	63	264	275	543	.257	.311	.405
7		洛杉磯道奇		60	2,042	523	118	327	349	471	.256	.338	.483
8		巴爾的摩金鶯		60	2,026	523	77	264	274	514	.258	.321	.429
9		華盛頓國民		60	1,968	519	66	279	293	451	.264	.336	.433
10		多倫多藍鳥		60	2,023	516	88	288	302	508	.255	.325	.441
11		聖地牙哥教士		60	1,972	506	95	312	325	479	.257	.333	.466
12		洛杉機天使		60	2,020	501	85	285	294	490	.248	.332	.430
13		費城費城人		60	1,948	500	82	289	306	480	.257	.342	.439
14		堪薩斯市皇家		60	1,988	485	68	237	248	527	.244	.309	.402
15		亞利桑那響尾蛇	60		1,997	482	58	255	269	461	.241	.312	.391
16		休士頓太空人		60	1,992	478	69	268	279	440	.240	.312	.408
17		紐約洋基			60	1,915	473	94	301	315	480	.247	.342	.447
18		邁阿密馬林魚		60	1,935	472	60	247	263	537	.244	.319	.384
19		坦帕灣光芒		60	1,975	470	80	274	289	608	.238	.328	.425
20		明尼蘇達雙城		60	1,937	468	91	258	269	528	.242	.315	.427
21		底特律老虎		58	1,893	463	62	242	249	567	.245	.303	.397
22		克里夫蘭印地安人	60		1,959	446	59	234	248	517	.228	.317	.372
23		西雅圖水手		60	1,929	435	60	244	254	545	.226	.309	.370
24		奧克蘭運動家		60	1,908	430	71	264	274	524	.225	.322	.396
25		密爾瓦基釀酒人	60		1,920	429	75	238	247	582	.223	.313	.389
26		匹茲堡海盜		60	1,932	425	59	210	219	521	.220	.284	.357
27		芝加哥小熊		60	1,918	422	74	248	265	568	.220	.318	.387
28		德州遊騎兵		60	1,936	420	62	204	224	548	.217	.285	.364
29		聖路易紅雀		58	1,752	410	51	231	240	477	.234	.323	.371
30		辛辛那提紅人		60	1,842	390	90	237	243	534	.212	.312	.403
