排名	隊伍		出賽	勝	負	救援	完投數	完封數	自責分	保送	三振	防禦率
1	洛杉磯道奇	60	43	17	15	0	5	181	145	517	3.02
2	克里夫蘭印地安人	60	35	25	20	1	7	196	157	621	3.29
3	明尼蘇達雙城	60	36	24	17	0	4	204	170	535	3.58
4	聖路易紅雀	58	30	28	13	2	2	205	204	464	3.90
5	坦帕灣光芒	60	40	20	23	0	4	209	168	552	3.56
6	辛辛那提紅人	60	31	29	9	3	5	215	213	615	3.84
7	奧克蘭運動家	60	36	24	17	1	5	216	165	506	3.77
8	芝加哥白襪	60	35	25	13	1	6	223	217	523	3.81
9	聖地牙哥教士	60	37	23	13	1	5	223	170	565	3.86
10	芝加哥小熊	60	34	26	16	2	8	230	182	523	3.99
11	密爾瓦基釀酒人	60	29	31	14	1	8	239	189	614	4.16
12	紐約洋基		60	33	27	14	2	2	242	168	528	4.35
13	堪薩斯市皇家	60	26	34	19	1	4	247	211	517	4.30
14	休士頓太空人	60	29	31	16	0	0	251	217	526	4.31
15	亞特蘭大勇士	60	35	25	13	0	4	257	220	506	4.41
16	巴爾的摩金鶯	60	25	35	11	0	1	260	192	487	4.51
17	舊金山巨人	60	29	31	13	1	0	267	210	488	4.64
18	匹茲堡海盜	60	19	41	6	1	3	267	249	536	4.68
19	多倫多藍鳥	60	32	28	17	0	1	268	250	519	4.60
20	邁阿密馬林魚	60	31	29	18	1	6	272	226	451	4.86
21	亞利桑那響尾蛇	60	25	35	13	0	2	279	235	524	4.84
22	紐約大都會	60	26	34	11	0	1	284	219	574	4.98
23	費城費城人	60	28	32	11	3	5	284	185	532	5.14
24	華盛頓國民	60	26	34	12	2	3	285	216	508	5.09
25	德州遊騎兵	60	22	38	10	2	3	288	236	489	5.02
26	西雅圖水手	60	27	33	15	1	0	289	230	469	5.03
27	洛杉機天使	60	26	34	12	1	2	297	199	523	5.09
28	底特律老虎	58	23	35	11	1	1	308	192	444	5.63
29	波士頓紅襪	60	24	36	14	0	2	325	252	537	5.58
30	科羅拉多落磯	60	26	34	16	1	1	327	205	393	5.59
